rush_adv_team1,rush_adv_team2,pass_adv_team1,pass_adv_team2,score_adv_team1,score_adv_team2,turnover_adv_team1,turnover_adv_team2,pred_rank_team1,pred_rank_team2,sos_team1,sos_team2,WinPct_team1,WinPct_team2,week,label
-46.80000000000001,-72.69999999999999,222.2,-63.19999999999999,-6.299999999999997,-15.799999999999997,-1.3,2.2,-4.1,-7.5,3.0,-5.2,53.9,8.3,4,1
-72.69999999999999,-46.80000000000001,-63.19999999999999,222.2,-15.799999999999997,-6.299999999999997,2.2,-1.3,-7.5,-4.1,-5.2,3.0,8.3,53.9,4,0
88.0,-167.5,133.0,-9.5,23.5,-3.5,-0.5,0.0,11.0,7.1,-2.3,0.8,46.2,46.2,4,1
-167.5,88.0,-9.5,133.0,-3.5,23.5,0.0,-0.5,7.1,11.0,0.8,-2.3,46.2,46.2,4,0
48.5,214.5,27.5,-31.5,3.5,30.5,0.5,-0.5,7.4,20.2,-5.6,8.5,69.2,53.9,4,1
214.5,48.5,-31.5,27.5,30.5,3.5,-0.5,0.5,20.2,7.4,8.5,-5.6,53.9,69.2,4,0
-218.5,-108.5,169.0,89.5,-10.5,-0.5,-0.5,0.5,-6.5,11.6,-2.8,3.9,61.5,46.2,4,1
-108.5,-218.5,89.5,169.0,-0.5,-10.5,0.5,-0.5,11.6,-6.5,3.9,-2.8,46.2,61.5,4,0
28.19999999999999,206.0,-72.69999999999999,-35.0,4.799999999999997,26.2,-0.19999999999999996,-1.5,9.6,13.3,-3.2,2.3,61.5,76.9,4,1
206.0,28.19999999999999,-35.0,-72.69999999999999,26.2,4.799999999999997,-1.5,-0.19999999999999996,13.3,9.6,2.3,-3.2,76.9,61.5,4,0
4.800000000000011,-61.19999999999999,-67.69999999999999,-103.30000000000001,-20.2,-22.799999999999997,0.7999999999999998,3.8,-13.8,-22.8,-2.0,-19.7,25.0,41.7,4,1
-61.19999999999999,4.800000000000011,-103.30000000000001,-67.69999999999999,-22.799999999999997,-20.2,3.8,0.7999999999999998,-22.8,-13.8,-19.7,-2.0,41.7,25.0,4,0
-47.0,136.5,-115.5,-86.0,-23.5,2.0,0.0,-3.5,0.2,-13.5,-4.8,-12.1,33.3,61.5,4,1
136.5,-47.0,-86.0,-115.5,2.0,-23.5,-3.5,0.0,-13.5,0.2,-12.1,-4.8,61.5,33.3,4,0
12.0,44.5,-17.0,82.5,7.5,16.0,-3.5,0.5,1.4,6.4,-5.3,0.3,76.9,25.0,4,1
44.5,12.0,82.5,-17.0,16.0,7.5,0.5,-3.5,6.4,1.4,0.3,-5.3,25.0,76.9,4,0
77.0,5.0,157.0,-109.5,15.0,-11.5,1.0,0.5,-4.7,-6.4,-12.2,-11.6,84.6,33.3,4,1
5.0,77.0,-109.5,157.0,-11.5,15.0,0.5,1.0,-6.4,-4.7,-11.6,-12.2,33.3,84.6,4,0
-48.5,84.5,-35.5,-21.5,-5.5,-2.0,-0.5,2.0,1.6,-16.0,-6.2,-6.1,61.5,46.2,4,1
84.5,-48.5,-21.5,-35.5,-2.0,-5.5,2.0,-0.5,-16.0,1.6,-6.1,-6.2,46.2,61.5,4,0
81.69999999999999,-74.80000000000001,51.69999999999999,-26.5,12.0,-5.0,-1.2,0.5,3.4,4.5,2.2,-9.8,33.3,76.9,4,1
-74.80000000000001,81.69999999999999,-26.5,51.69999999999999,-5.0,12.0,0.5,-1.2,4.5,3.4,-9.8,2.2,76.9,33.3,4,0
41.0,-137.5,-26.0,-88.5,-5.5,-21.0,1.5,-1.0,-0.2,-13.7,-10.1,-9.4,76.9,0.0,4,1
-137.5,41.0,-88.5,-26.0,-21.0,-5.5,-1.0,1.5,-13.7,-0.2,-9.4,-10.1,0.0,76.9,4,0
23.0,28.400000000000006,-46.69999999999999,167.39999999999998,1.3999999999999986,17.6,-0.7000000000000002,0.0,8.9,12.8,-0.3,14.3,61.5,84.6,4,1
28.400000000000006,23.0,167.39999999999998,-46.69999999999999,17.6,1.3999999999999986,0.0,-0.7000000000000002,12.8,8.9,14.3,-0.3,84.6,61.5,4,0
-2.3000000000000114,-56.0,18.19999999999999,73.19999999999999,7.299999999999997,-4.300000000000001,0.19999999999999996,-0.7999999999999998,13.7,-6.3,1.9,-4.4,41.7,33.3,4,1
-56.0,-2.3000000000000114,73.19999999999999,18.19999999999999,-4.300000000000001,7.299999999999997,-0.7999999999999998,0.19999999999999996,-6.3,13.7,-4.4,1.9,33.3,41.7,4,0
14.199999999999989,65.69999999999999,3.1999999999999886,69.69999999999999,-2.3000000000000007,16.3,-1.2000000000000002,-0.5,2.1,-4.9,0.7,-14.4,61.5,78.6,4,1
65.69999999999999,14.199999999999989,69.69999999999999,3.1999999999999886,16.3,-2.3000000000000007,-0.5,-1.2000000000000002,-4.9,2.1,-14.4,0.7,78.6,61.5,4,0
-6.0,-48.5,191.5,35.5,35.5,-16.0,1.5,-1.5,25.4,0.1,14.5,-1.9,76.9,53.9,4,1
-48.5,-6.0,35.5,191.5,-16.0,35.5,-1.5,1.5,0.1,25.4,-1.9,14.5,53.9,76.9,4,0
-200.5,-9.0,165.5,-72.5,-8.0,7.5,0.0,1.5,13.7,6.1,3.6,4.1,16.7,41.7,4,1
-9.0,-200.5,-72.5,165.5,7.5,-8.0,1.5,0.0,6.1,13.7,4.1,3.6,41.7,16.7,4,0
282.5,31.0,-94.0,-112.0,32.0,-7.0,-1.5,-0.5,3.5,-13.8,-15.0,-15.7,76.9,69.2,4,1
31.0,282.5,-112.0,-94.0,-7.0,32.0,-0.5,-1.5,-13.8,3.5,-15.7,-15.0,69.2,76.9,4,0
-64.0,96.7,36.80000000000001,-35.0,-5.700000000000003,10.0,1.0,-0.19999999999999996,11.1,-6.4,6.1,-8.6,53.9,8.3,4,1
96.7,-64.0,-35.0,36.80000000000001,10.0,-5.700000000000003,-0.19999999999999996,1.0,-6.4,11.1,-8.6,6.1,8.3,53.9,4,0
8.0,-140.0,-74.0,-130.5,2.5,-20.5,-1.5,-0.5,-9.0,-5.7,-4.2,-8.6,23.1,69.2,4,1
-140.0,8.0,-130.5,-74.0,-20.5,2.5,-0.5,-1.5,-5.7,-9.0,-8.6,-4.2,69.2,23.1,4,0
78.5,66.0,-178.0,-155.0,-24.0,-15.5,1.0,0.5,-8.7,-26.2,-9.0,-21.0,41.7,25.0,4,1
66.0,78.5,-155.0,-178.0,-15.5,-24.0,0.5,1.0,-26.2,-8.7,-21.0,-9.0,25.0,41.7,4,0
54.5,71.0,-45.0,124.0,6.0,4.0,-1.0,0.5,5.0,-15.7,-17.4,-11.1,46.2,53.9,4,1
71.0,54.5,124.0,-45.0,4.0,6.0,0.5,-1.0,-15.7,5.0,-11.1,-17.4,53.9,46.2,4,0
16.5,128.0,-127.0,5.0,-19.0,17.5,-0.5,-1.5,8.4,-9.4,4.9,-11.2,33.3,25.0,4,1
128.0,16.5,5.0,-127.0,17.5,-19.0,-1.5,-0.5,-9.4,8.4,-11.2,4.9,25.0,33.3,4,0
-1.1999999999999886,-38.30000000000001,-25.5,150.5,-2.5,1.1999999999999993,-0.8,1.3,18.2,-14.8,7.1,1.7,87.5,16.7,4,1
-38.30000000000001,-1.1999999999999886,150.5,-25.5,1.1999999999999993,-2.5,1.3,-0.8,-14.8,18.2,1.7,7.1,16.7,87.5,4,0
-69.80000000000001,-84.5,44.80000000000001,177.0,-6.700000000000003,8.2,2.2,0.2999999999999998,22.4,-6.7,6.2,-5.3,87.5,46.2,4,1
-84.5,-69.80000000000001,177.0,44.80000000000001,8.2,-6.700000000000003,0.2999999999999998,2.2,-6.7,22.4,-5.3,6.2,46.2,87.5,4,0
-55.69999999999999,38.0,17.30000000000001,-19.19999999999999,9.5,16.2,-1.7999999999999998,-3.0,12.0,4.7,-9.9,6.8,25.0,81.3,4,1
38.0,-55.69999999999999,-19.19999999999999,17.30000000000001,16.2,9.5,-3.0,-1.7999999999999998,4.7,12.0,6.8,-9.9,81.3,25.0,4,0
-0.19999999999998863,59.0,-171.5,-39.0,-12.8,2.3000000000000007,0.19999999999999996,-0.19999999999999996,4.8,-7.9,-2.4,-11.6,81.3,25.0,4,1
59.0,-0.19999999999998863,-39.0,-171.5,2.3000000000000007,-12.8,-0.19999999999999996,0.19999999999999996,-7.9,4.8,-11.6,-2.4,25.0,81.3,4,0
-160.5,-11.5,-142.5,-144.5,-36.5,-9.5,0.0,-0.5,-5.5,-18.9,-9.2,-16.2,53.9,41.7,4,1
-11.5,-160.5,-144.5,-142.5,-9.5,-36.5,-0.5,0.0,-18.9,-5.5,-16.2,-9.2,41.7,53.9,4,0
-91.0,-222.0,-131.0,117.5,-40.5,-13.5,-1.0,1.5,-10.5,-12.8,-8.8,-7.5,53.9,46.2,4,1
